region_name,date,temp_min_anomaly_threshold
潮州市,06-02,0.1252560430700081
澄迈县,06-02,1.1614438108737857
濮阳市,06-02,0.267696100677515
烟台市,06-02,-1.996425842677363
焦作市,06-02,-0.059798087536299845
牡丹江市,06-02,-1.4699864976590489
玉林市,06-02,0.3769766504633252
玉树藏族自治州,06-02,-1.3090523866224228
玉溪市,06-02,0.8439393262926321
珠海市,06-02,0.2856507661163528
琼中黎族苗族自治县,06-02,1.1116715366121146
琼海市,06-02,1.1633424058459128
甘南藏族自治州,06-02,-0.268346824545743
甘孜藏族自治州,06-02,-0.41301308813240334
白城市,06-02,-0.06224471469225533
白山市,06-02,-1.4921081425525822
白杨市,06-02,0.48796995541397525
白沙黎族自治县,06-02,1.3140706898179557
白银市,06-02,-0.06849672094383878
百色市,06-02,0.6931605582047575
益阳市,06-02,-0.2893720282239176
盐城市,06-02,-2.2298011983067334
盘锦市,06-02,-1.514072008162459
眉山市,06-02,0.24703841027033155
石嘴山市,06-02,0.3120125380555109
石家庄市,06-02,-0.010705102614993654
石河子市,06-02,0.2991937810687372
神农架林区,06-02,-0.7046481268492191
福州市,06-02,-0.32815652297315717
秦皇岛市,06-02,-1.139198491151055
红河哈尼族彝族自治州,06-02,0.768331648413984
绍兴市,06-02,-1.1633398499636238
绥化市,06-02,-0.14496172505242175
绵阳市,06-02,-0.10682114123865012
聊城市,06-02,0.2667218760648314
肇庆市,06-02,-0.025685249769941517
胡杨河市,06-02,0.54289947181252
自贡市,06-02,0.14270809779858737
舟山市,06-02,-2.7929535716427023
芜湖市,06-02,-1.3030944136970282
苏州市,06-02,-1.88503976559954
茂名市,06-02,0.44526097161934225
荆州市,06-02,-0.6372972216555641
荆门市,06-02,-0.3976430744589143
莆田市,06-02,-0.0693755693086889
菏泽市,06-02,-0.040454482620088716
萍乡市,06-02,-0.528323644516329
营口市,06-02,-1.6888513958269076
葫芦岛市,06-02,-0.5697620227561747
蚌埠市,06-02,-0.7625622420475596
衡水市,06-02,0.7795975166416155
衡阳市,06-02,-0.18623484162691908
衢州市,06-02,-0.8045743315076272
襄阳市,06-02,-0.4878440809138473
西双版纳傣族自治州,06-02,0.9197889798988058
西宁市,06-02,-0.5305842643465881
西安市,06-02,-0.5346756441511152
许昌市,06-02,0.23343976152884544
贵港市,06-02,0.20086860268914775
贵阳市,06-02,0.8187686712793221
贺州市,06-02,-0.04420475352335339
资阳市,06-02,0.02509441479513736
赣州市,06-02,-0.08097537826721996
赤峰市,06-02,0.27925946483464353
辽源市,06-02,-0.6370790156977153
辽阳市,06-02,-1.0753399229831062
达州市,06-02,-0.7083220579316036
运城市,06-02,-0.3299067117367101
连云港市,06-02,-1.5384772821478707
迪庆藏族自治州,06-02,-0.2848128018373086
通化市,06-02,-1.4565997081391484
通辽市,06-02,0.004580904598927134
遂宁市,06-02,-0.11578838086629685
遵义市,06-02,0.10455792667606839
邢台市,06-02,0.024918231799268786
那曲市,06-02,-2.050234935494274
邯郸市,06-02,-0.09266331929691539
邵阳市,06-02,0.01549924008869966
郑州市,06-02,-0.06996326946115308
郴州市,06-02,-0.1931801716094262
鄂尔多斯市,06-02,0.6854600362381085
鄂州市,06-02,-0.7473950347618021
